codigo_proceso,t2.procedimiento,total actividades,match paso 5,% paso 5,match paso 6,% paso 6,match paso 7,% paso 7,total match,sin cobertura,% cobertura global
T070203,Administrar Ventas Digitales,31,0,0.0%,0,0.0%,5,16.1%,5,26,16.1%
T070203,Enviar Información Forma 416,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T070203,Enviar información F416 Preaprobados digital consumo desembolsados,13,0,0.0%,0,0.0%,2,15.4%,2,11,15.4%
T070203,Gestionar Clientes BPO,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T070203,Gestionar información de las experiencias digitales,14,0,0.0%,0,0.0%,4,28.6%,4,10,28.6%
T070203,Monitorear Experiencias,7,0,0.0%,0,0.0%,1,14.3%,1,6,14.3%
T070204,Atender interrupciones programadas en los canales y servicios,24,0,0.0%,0,0.0%,6,25.0%,6,18,25.0%
T070206,Atender novedades del Banco para canales virtuales empresas,15,0,0.0%,0,0.0%,4,26.7%,4,11,26.7%
T070208,Atender Novedades del Cliente para Canales Digitales,26,0,0.0%,0,0.0%,5,19.2%,5,21,19.2%
T070209,Atender novedades del cliente para canales virtuales empresas,32,0,0.0%,0,0.0%,0,0.0%,0,32,0.0%
T070209,H2H,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T070209,PYME,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T070209,SVE,15,0,0.0%,0,0.0%,0,0.0%,0,15,0.0%
T070209,SVN,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T070209,WEB SERVICE,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T070211,Gestionar ingresos y procesos contables del canal,41,0,0.0%,0,0.0%,6,14.6%,6,35,14.6%
T070212,Diagrama 1,5,0,0.0%,0,0.0%,1,20.0%,1,4,20.0%
T070212,Monitorear canales electrónicos y efectivo,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T070212,Monitorear canales fisicos,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T070212,Monitorear contact center,18,0,0.0%,0,0.0%,0,0.0%,0,18,0.0%
T070212,Monitorear operación digital,20,0,0.0%,0,0.0%,1,5.0%,1,19,5.0%
T070212,Monitorear servicios corresponsales bancarios,6,0,0.0%,0,0.0%,0,0.0%,0,6,0.0%
T070212,Monitorear servicios sucursales,31,0,0.0%,0,0.0%,1,3.2%,1,30,3.2%
