codigo_proceso,t2.procedimiento,t2.actividad,Código,Nombre de la Actividad
T160087,Atencion créditos de empleados,radicar solicitud de mantenimiento en el sistema para credito hipotecario ,CMT79,Radicar Solicitud
T160087,Atender Solicitudes Posventa Cartera Hipotecaria y Constructor,radicar solicitud ,CMT79,Radicar Solicitud
T160087,Atender solicitudes de Alivios Covid 19 - Circular 22,radicar solicitudes en bizagi ,CMT79,Radicar Solicitud
T160087,"Cambiar plan, plazo y modalidad de productos hipotecarios",recibir solicitud del cliente y radicar solicitud ,CMT79,Radicar Solicitud
T160087,Ejecutar mantenimientos de cartera hipotecaria,reasignar solicitud a la célula vip. ,CMP75,Asignar Solicitud
T160087,Ejecutar mantenimientos de cartera hipotecaria,radicar solicitud ,CMT79,Radicar Solicitud
T160087,Ejecutar mantenimientos de cartera hipotecaria,radicar solicitud de mantenimiento en el sistema ,CMT79,Radicar Solicitud
T160087,Ejecutar mantenimientos de cartera hipotecaria,cerrar solicitud de mantenimiento ,ACT378,Cerrar Solicitud
T160090,Procedimiento contingencia,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160090,Procedimiento contingencia,activar contingencia [act363] ,ACT363,Activar Contingencia
T160090,Recibir abonos de cartera hipotecaria,actualizar registro [act011] ,ACT011,Actualizar Registro
T160090,Recibir abonos de cartera hipotecaria,autorizar transacción [act052] ,ACT052,Autorizar TransacciÃ³n
T160090,Recibir abonos de cartera hipotecaria,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160090,Recibir abonos de cartera hipotecaria,informar resultado [act209] ,ACT209,Informar Resultado
T160090,Recibir abonos de cartera hipotecaria,reversar transacción [act290] ,ACT290,Reversar TransacciÃ³n
T160090,Recibir abonos de cartera hipotecaria,validar información [act341] ,ACT341,Validar InformaciÃ³n
T160090,Recibir abonos de cartera hipotecaria,validar operación [act342] ,ACT342,Validar TransacciÃ³n
T160092,Generar y transmitir informes Solución Inmobiliaria,actualizar registro [act011] ,ACT011,Actualizar Registro
T160092,Generar y transmitir informes Solución Inmobiliaria,confirmar registro [act095] ,ACT095,Confirmar Registro
T160092,Generar y transmitir informes Solución Inmobiliaria,consolidar información [act098] ,ACT098,Consolidar InformaciÃ³n
T160092,Generar y transmitir informes Solución Inmobiliaria,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160092,Generar y transmitir informes Solución Inmobiliaria,monitorear alertas [act218] ,ACT218,Monitorear Alertas
T160092,Generar y transmitir informes Solución Inmobiliaria,registrar evidencia [act275] ,ACT275,Registrar Evidencia
T160092,Generar y transmitir informes Solución Inmobiliaria,revisar configuración [act294] ,ACT294,Revisar ConfiguraciÃ³n
T160092,Generar y transmitir informes Solución Inmobiliaria,solicitar información [act318] ,ACT318,Solicitar InformaciÃ³n
T160092,Generar y transmitir informes Solución Inmobiliaria,solicitar soporte [act320] ,ACT320,Solicitar Soporte
T160092,Generar y transmitir informes Solución Inmobiliaria,validar información [act341] ,ACT341,Validar InformaciÃ³n
T160092,Generar y transmitir informes Solución Inmobiliaria,c004:validar resultados herramientas ,ACT347,Validar Resultado
T160092,Generar y transmitir informes Solución Inmobiliaria,activar contingencia [act363] ,ACT363,Activar Contingencia
T160092,Generar y transmitir informes de cartera hipotecaria,c004:validar resultados herramientas ,ACT347,Validar Resultado
T160099,Administrar Convenios Empresariales de Cartera,identificar diferencias contables ,CP0292,Identificar diferencias contables
T160099,Administrar Convenios Empresariales de Cartera,procesar pagos ,ACT237,Procesar Pago
T160099,Administrar Convenios Empresariales de Cartera,rechazar solicitud en sap-crm ,ACT264,Rechazar Solicitud
T160099,Administrar Convenios Empresariales de Cartera,devolver solicitud ,ACT377,Devolver Solicitud
T160099,Enviar información y novedades a convenios,extraer información [act173] ,ACT173,Extraer InformaciÃ³n
T160099,Gestionar convenios,radicar solicitud ,CMT79,Radicar Solicitud
T160099,Gestionar convenios,validar solicitud ,ACT348,Validar Solicitud
T160099,Gestionar convenios,devolver solicitud ,ACT377,Devolver Solicitud
T160100,Administrar servicios y asesorias Outsourcing,elaborar informe de indicadores ,CMP86,Elaborar Informe
T160100,Administrar servicios y asesorias Outsourcing,radicar solicitud de beneficiarios de icr ,CMT79,Radicar Solicitud
T160100,Administrar servicios y asesorias Outsourcing,m: soporte organizacional p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T160100,Gestionar Comisiones 4G Findeter,radicar solicitud ,CMT79,Radicar Solicitud
T160100,Gestionar Comisiones 4G Findeter,devolver solicitud ,ACT377,Devolver Solicitud
T160100,Gestionar Crédito PADA,calcular valor a cobrar por intereses ,CP0390,Calcular valor a cobrar
T160100,Gestionar Informes y Solicitud de Firmas a las entidades,validar solicitud de autorización de firma o correo ,ACT348,Validar Solicitud
T160100,Gestionar cancelación y prepago parcial,c002: aprobar solicitud de prepagos y cancelaciones ,CMP77,Aprobar Solicitud
T160100,Gestionar crédito Línea Bancoldex Aprogresar,notificar al comercial y archivar documentos del incentivo ibc ,ACT032,Archivar Documento
T160100,Gestionar solicitud de modificación  de condiciones de crédito,radicar solicitud a la entidad de redescuento ,CMT79,Radicar Solicitud
T160107,Aplicar Pagos a la Cartera,radicar solicitud de pago ,CMT79,Radicar Solicitud
T160107,Aplicar Pagos a la Cartera,procesar pagos ,ACT237,Procesar Pago
T160107,Aplicar Pagos a la Cartera,devolver solicitud inconsistente ,ACT377,Devolver Solicitud
T160107,Aplicar Pagos a la Cartera,cerrar solicitud ,ACT378,Cerrar Solicitud
T160107,Generar informe de cartera,rechazar solicitud ,ACT264,Rechazar Solicitud
T160107,Recibir abonos de cartera,radicar solicitud ,CMT79,Radicar Solicitud
T160107,Recibir y Pagar Otras Comisiones,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160108,Atender eventos atípicos,radicar solicitud de mantenimiento ,CMT79,Radicar Solicitud
T160108,Cambiar de Cuenta Débito Automático de Cartera,devolver solicitud al cliente para que sea corregida ,ACT377,Devolver Solicitud
T160108,Ejecutar Mantenimientos de Cartera,c012 - validar documentos indexados para aplicar mantemientos a obligaciones ,ACT331,Validar Documento
T160108,Ejecutar Mantenimientos de Cartera,devolver solicitud ,ACT377,Devolver Solicitud
T160108,Ejecutar Mantenimientos de Cartera,cerrar solicitud de la aplicación del mantenimiento ,ACT378,Cerrar Solicitud
T160108,Gestionar Novedades de Cartera de Financiación,radicar solicitud ,CMT79,Radicar Solicitud
T160108,Gestionar Novedades de Cartera de Financiación,devolver solicitud ,ACT377,Devolver Solicitud
T160108,Gestionar Novedades de Cartera de Financiación,cerrar solicitud ,ACT378,Cerrar Solicitud
T160108,Realizar monitoreo a la cartera,radicar solicitud de mantenimiento ,CMT79,Radicar Solicitud
T160109,Administrar MAP,devolver solicitud ,ACT377,Devolver Solicitud
T160109,Administrar Parámetros del Aplicativo en Cartera,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160109,Administrar Parámetros del Aplicativo en Cartera,cerrar solicitud de bizagi ,ACT378,Cerrar Solicitud
T160112,Constituir Garantía FNG y FAG,asignar solicitud bizagi ,CMP75,Asignar Solicitud
T160112,Constituir Garantía FNG y FAG,actualizar registro [act011] ,ACT011,Actualizar Registro
T160112,Constituir Garantía FNG y FAG,actualizar registro ,ACT011,Actualizar Registro
T160112,Constituir Garantía FNG y FAG,archivar documento [act032] ,ACT032,Archivar Documento
T160112,Constituir Garantía FNG y FAG,archivar documento ,ACT032,Archivar Documento
T160112,Constituir Garantía FNG y FAG,asignar responsable [act039] ,ACT039,Asignar Responsable
T160112,Constituir Garantía FNG y FAG,asignar responsable ,ACT039,Asignar Responsable
T160112,Constituir Garantía FNG y FAG,confirmar registro [act095] ,ACT095,Confirmar Registro
T160112,Constituir Garantía FNG y FAG,confirmar registro ,ACT095,Confirmar Registro
T160112,Constituir Garantía FNG y FAG,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160112,Constituir Garantía FNG y FAG,extraer información [act173] ,ACT173,Extraer InformaciÃ³n
T160112,Constituir Garantía FNG y FAG,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
