codigo_proceso,t2.procedimiento,t2.actividad,Código,Nombre de la Actividad
T160112,Constituir Garantías Prendas Especiales,generar documento legal ,CP1160,Generar documento
T160112,Constituir Garantías Prendas Especiales,archivar documento ,ACT032,Archivar Documento
T160112,Constituir Garantías Prendas Especiales,asignar responsable ,ACT039,Asignar Responsable
T160112,Constituir Garantías Prendas Especiales,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160112,Constituir Garantías Stand By,validar solicitud ,ACT348,Validar Solicitud
T160112,Constituir Garantías Stand By,devolver solicitud ,ACT377,Devolver Solicitud
T160112,Constituir Garantías Vehículos Pensiones CDT´s,radicar solicitud ,CMT79,Radicar Solicitud
T160112,Constituir Garantías Vehículos Pensiones CDT´s,custodiar documentos definitivo datafile ,CP1109,Custodiar documento
T160112,Constituir Garantías Vehículos Pensiones CDT´s,generar documento legal ,CP1160,Generar documento
T160112,Constituir Garantías Vehículos Pensiones CDT´s,archivar documento ,ACT032,Archivar Documento
T160112,Constituir Garantías Vehículos Pensiones CDT´s,gestionar inconsistencias identificadas ,ACT191,Gestionar Inconsistencias
T160112,Constituir Garantías Vehículos Pensiones CDT´s,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160112,Constituir Garantías Vehículos Pensiones CDT´s,rechazar solicitud ,ACT264,Rechazar Solicitud
T160112,Constituir Garantías Vehículos Pensiones CDT´s,validar solicitud ,ACT348,Validar Solicitud
T160112,Constituir garantía no hipotecaria,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160112,Constituir garantía no hipotecaria,c011: validar documentos originales ,ACT331,Validar Documento
T160112,Constituir garantía no hipotecaria,c012- cp: validar solicitud ,ACT348,Validar Solicitud
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,radicar solicitud para causación del gasto de las franquicias ,CMT79,Radicar Solicitud
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,confirmar registro [act095] ,ACT095,Confirmar Registro
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,descargar reporte [act122] ,ACT122,Descargar Reporte
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,emitir comprobante [act142] ,ACT142,Emitir Comprobante
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,procesar pago de factura de proveedores ,ACT237,Procesar Pago
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,registrar operación contable [act371] ,ACT371,Registrar OperaciÃ³n Contable
T160141,Administrar inventario -solicitudes de Colectivos,radicar solicitud de asociación a clientes ,CMT79,Radicar Solicitud
T160141,Administrar inventario -solicitudes de Colectivos,informar resultado de la asignación ,ACT209,Informar Resultado
T160141,Entregar tarjetas y claves débito,realizar trazabilidad ,ACT301,Realizar Trazabilidad
T160146,Procedimiento Contingente,generar documentos de la operación ,CP1160,Generar documento
T160146,Procedimiento Contingente,activar contingencia [act363] ,ACT363,Activar Contingencia
T160146,Procedimiento contingente,radicar solicitud serv. instrumental produc. ,CMT79,Radicar Solicitud
T160146,Procedimiento contingente,radicar solicitud de desembolso ,CMT79,Radicar Solicitud
T160146,Procedimiento contingente,generar documentos de la operación ,CP1160,Generar documento
T160146,Procedimiento contingente,devolver solicitud al comercial ,ACT377,Devolver Solicitud
T160146,Solicitar desembolso,consultar listas restrictivas [cmf16] ,CMF16,Consultar Listas Restrictivas
T160146,Solicitar desembolso,cmp: 84 consultar listas restrictivas ,CMF16,Consultar Listas Restrictivas
T160146,Solicitar desembolso,radicar solicitud serv. instrumental produc. ,CMT79,Radicar Solicitud
T160146,Solicitar desembolso,radicar solicitud revisión cámara de comercio pic ,CMT79,Radicar Solicitud
T160146,Solicitar desembolso,radicar solicitud de desembolso ,CMT79,Radicar Solicitud
T160146,Solicitar desembolso,radicar solicitud a la gcia de servicios regionales (ose) ,CMT79,Radicar Solicitud
T160146,Solicitar desembolso,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160146,Solicitar desembolso,gestionar proceso [act192] ,ACT192,Gestionar Proceso
T160146,Solicitar desembolso,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T160146,Solicitar desembolso,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160146,Solicitar desembolso,solicitar firma [act317] ,ACT317,Solicitar Firma
T160146,Solicitar desembolso,validar información [act341] ,ACT341,Validar InformaciÃ³n
T160146,Solicitar desembolso,devolver solicitud al comercial ,ACT377,Devolver Solicitud
T160147,"Contingencia, fecha actualización 2025-07-08",recibir información [act266] ,ACT266,Recibir InformaciÃ³n
T160147,"Contingencia, fecha actualización 2025-07-08",activar contingencia [act363] ,ACT363,Activar Contingencia
T160147,Procedimiento Contingente,radicar solicitud de calidad desembolso ,CMT79,Radicar Solicitud
T160147,Realizar Desembolso de Crédito Comercial y Consumo,asignar solicitud de desembolso ,CMP75,Asignar Solicitud
T160147,Realizar Desembolso de Crédito Comercial y Consumo,radicar solicitud de calidad desembolso ,CMT79,Radicar Solicitud
T160147,Realizar Desembolso de Crédito Comercial y Consumo,radicar solicitud de calidad decreto y montos ,CMT79,Radicar Solicitud
T160147,Realizar Desembolso de Crédito Comercial y Consumo,actualizar registro [act011] ,ACT011,Actualizar Registro
T160147,Realizar Desembolso de Crédito Comercial y Consumo,confirmar registro [act095] ,ACT095,Confirmar Registro
T160147,Realizar Desembolso de Crédito Comercial y Consumo,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160147,Realizar Desembolso de Crédito Comercial y Consumo,reportar error [act285] ,ACT285,Registrar Incidente
T160147,Realizar Desembolso de Crédito Comercial y Consumo,devolver solicitud de desembolso ,ACT377,Devolver Solicitud
T160148,Desembolsar Cartera a través de Líneas Virtuales,gestionar inconsistencias evidenciadas por el sistema ,ACT191,Gestionar Inconsistencias
T160150,Realizar solicitud Bancoldex,radicar solicitud [cmt79] ,CMT79,Radicar Solicitud
T160150,Realizar solicitud Bancoldex,actualizar registro [act011] ,ACT011,Actualizar Registro
T160150,Realizar solicitud Bancoldex,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160150,Realizar solicitud Bancoldex,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160150,Realizar solicitud Bancoldex,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160150,Realizar solicitud Bancoldex,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
T160150,Realizar solicitud Bancoldex,validar documento [act331] ,ACT331,Validar Documento
T160150,Realizar solicitud Bancoldex,validar solicitud [act348] ,ACT348,Validar Solicitud
T160150,Realizar solicitud Finagro,actualizar registro [act011] ,ACT011,Actualizar Registro
T160150,Realizar solicitud Finagro,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160150,Realizar solicitud Finagro,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
T160150,Realizar solicitud Finagro,validar solicitud [act348] ,ACT348,Validar Solicitud
T160150,Realizar solicitud Findeter,aprobar solicitud por disponibilidad de recursos ,CMP77,Aprobar Solicitud
T160150,Realizar solicitud Findeter,aprobar solicitud [cmp77] ,CMP77,Aprobar Solicitud
T160150,Realizar solicitud Findeter,radicar solicitud desembolso findeter fdef ,CMT79,Radicar Solicitud
T160150,Realizar solicitud Findeter,radicar solicitud código de tasa ,CMT79,Radicar Solicitud
T160150,Realizar solicitud Findeter,actualizar registro [act011] ,ACT011,Actualizar Registro
T160150,Realizar solicitud Findeter,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160150,Realizar solicitud Findeter,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160150,Realizar solicitud Findeter,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160150,Realizar solicitud Findeter,rechazar solicitud por agotamiento recursos ,ACT264,Rechazar Solicitud
T160150,Realizar solicitud Findeter,validar solicitud [act348] ,ACT348,Validar Solicitud
T160150,Solicitar desembolso crédito de redescuento,radicar solicitud a la ose ,CMT79,Radicar Solicitud
T160150,Solicitar desembolso crédito de redescuento,radicar solicitud a la gcia de servicios regionales (ose) ,CMT79,Radicar Solicitud
T160150,Solicitar desembolso crédito de redescuento,radicar solicitud desembolso findeter ,CMT79,Radicar Solicitud
T160150,Solicitar desembolso crédito de redescuento,radicar solicitud consulta vlr disponible ,CMT79,Radicar Solicitud
T160150,Solicitar desembolso crédito de redescuento,radicar solicitud [cmt79] ,CMT79,Radicar Solicitud
T160150,Solicitar desembolso crédito de redescuento,definir y aprobar políticas de cumplimiento [cp0016) ,CP0016,Definir y aprobar polÃ­ticas de cumplimiento.
T160150,Solicitar desembolso crédito de redescuento,gestionar alertas [cp0191] ,CP0191,Gestionar alertas
T160150,Solicitar desembolso crédito de redescuento,gestionar alerta [act181] ,ACT181,Atender Alerta
T160150,Solicitar desembolso crédito de redescuento,validar información [act341] ,ACT341,Validar InformaciÃ³n
T160150,Solicitar desembolso crédito de redescuento,devolver solicitud al comercial ,ACT377,Devolver Solicitud
T160155,Gestionar contraprestaciones de aliados Sufi,m: gestión financiera p: administrar y gestionar procesos contables ,ACT192,Gestionar Proceso
T160155,Procesar comisiones a vendedores Sufi,gestionar inconsistencias del archivo ,ACT191,Gestionar Inconsistencias
T160155,Procesar contraprestación de comercios y vendedores,m: gestión financiera p: administrar y gestionar procesos contables ,ACT192,Gestionar Proceso
T160157,Realizar cobros de cuota de manejo de tarjetas débito,consultar saldo de la cuenta ,ACT103,Consultar Saldo
T160157,Realizar cobros de cuota de manejo de tarjetas débito,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160157,Realizar controles para cuota de manejo,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160158,Procesar novedad cancelación masiva,estructurar información [act165] ,ACT165,Estructurar InformaciÃ³n
T160158,Procesar novedad cancelación masiva,validar información[act341] ,ACT341,Validar InformaciÃ³n
T160158,Procesar novedades por autogestión,autenticar cliente [act045] ,ACT045,Autenticar Cliente
T160158,Procesar novedades por autogestión,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160158,Procesar novedades por autogestión,monitorear operaciones [act220] ,ACT220,Monitorear Operaciones
T160158,Procesar novedades por autogestión,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160158,Procesar novedades por autogestión,validar solicitud [act348] ,ACT348,Validar Solicitud
T160159,Administrar productos prepago,recomendar producto [cp0013] ,CP0013,Actualizar MetodologÃ­as.
T160159,Administrar productos prepago,crear producto [cp0019] ,CP0019,Actualizar polÃ­ticas y procedimientos conforme a nuevas regulaciones.
T160159,Administrar productos prepago,crear convenios [cp0023] ,CP0023,"Implementar controles preventivos, detectivos y correctivos."
T160159,Administrar productos prepago,inscribir cliente en el convenio [cp0024] ,CP0024,Establecer roles y responsabilidades.
T160159,Administrar productos prepago,activar producto [cp0046] ,CP0046,Registrar alertas de cumplimiento.
T160159,Administrar productos prepago,reintentar el cobro según reglas definidas [cp0087] ,CP0087,Adoptar inteligencia artificial y machine learning.
T160159,Administrar productos prepago,ejecutar el cobro [cp0122] ,CP0122,Calcular nivel de lealtad
T160159,Administrar productos prepago,reprocesar rechazos [cp0141] ,CP0141,Definir reglas de aplicabilidad de estrategia de lealtad
T160159,Administrar productos prepago,desactivar producto [cp0175] ,CP0175,Generar marcaciÃ³n de cliente
T160159,Administrar productos prepago,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T160159,Administrar productos prepago,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160159,Administrar productos prepago,ejecutar ajuste contable [act372] ,ACT372,Ejecutar Ajuste Contable
T160159,Gestionar entrega del producto,actualizar datos del cliente ,CMC03,Actualizar Datos Del Cliente
T160159,Gestionar entrega del producto,clasificar solicitud [cmp78] ,CMP78,Clasificar Solicitud
T160159,Gestionar entrega del producto,crear producto [cp0019] ,CP0019,Actualizar polÃ­ticas y procedimientos conforme a nuevas regulaciones.
T160159,Gestionar entrega del producto,generar archivo de solicitud de impresión [cp0036] ,CP0036,Definir reglas de alerta de cumplimiento transaccional.
T160159,Gestionar entrega del producto,transmitir archivo de impresión [cp0037] ,CP0037,Realizar monitoreo transaccional.
T160159,Gestionar entrega del producto,enrutar archivos [cp0038] ,CP0038,Generar Alertas transaccionales.
T160159,Gestionar entrega del producto,atender ilocalizados [cp0042] ,CP0042,Generar Alertas no transaccionales.
T160159,Gestionar entrega del producto,confirmar entrega [cp0044] ,CP0044,Clasificar denuncias y reportes.
T160159,Gestionar entrega del producto,realizar arqueos periódicos de existencias físicas vs registros en sistemas [cp0051] ,CP0051,Crear Caso de investigaciÃ³n.
T160159,Gestionar entrega del producto,coordinar destrucción certificada del producto [cp0052] ,CP0052,Notificar creaciÃ³n del caso.
T160159,Gestionar entrega del producto,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
T160159,Gestionar entrega del producto,informar resultado [act209] ,ACT209,Informar Resultado
T160159,Gestionar entrega del producto,registrar evidencia [act275] ,ACT275,Registrar Evidencia
T160159,Gestionar entrega del producto,validar información [act341] ,ACT341,Validar InformaciÃ³n
T160159,Gestionar entrega del producto,validar solicitud ,ACT348,Validar Solicitud
T160159,Gestionar novedades prepago,validar transacción [cp0059] ,CP0059,Emitir decisiones del caso.
T160159,Gestionar novedades prepago,generar informes [cp0104] ,CP0104,DiseÃ±ar programas de cultura en cumplimiento.
T160159,Gestionar novedades prepago,aplicar carga [cp0138] ,CP0138,Exponer misiones priorizadas
T160159,Gestionar novedades prepago,aplicar bloqueo/ desbloqueo [cp0143] ,CP0143,Orquestar misiones y beneficios
T160159,Gestionar novedades prepago,modificar condiciones del funcionamiento del producto [cp0151] ,CP0151,Gestionar campaÃ±as temporales
T160159,Gestionar novedades prepago,gestionar proceso [act192] ,ACT192,Gestionar Proceso
T160159,Gestionar novedades prepago,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160159,Gestionar novedades prepago,registrar operación contable [act371] ,ACT371,Registrar OperaciÃ³n Contable
T160159,Personalizar y entregar Tarjetas por segunda vez,generar orden de renovación [cp0160] ,CP0160,Perfilar/validar estado del cliente
T160159,Personalizar y entregar Tarjetas por segunda vez,validar reglas de renovación [cp0161] ,CP0161,Exponer y capturar clÃ¡usulas y autorizaciones
T160161,Emisión masiva MD,cerrar casos y comunicar al cliente ,CP0061,Cerrar caso.
T160161,Solicitar Tarjeta débito Virtual,autenticar cliente ,ACT045,Autenticar Cliente
T160161,Solicitar tarjeta débito,radicar solicitud de generación de tarjeta debito ,CMT79,Radicar Solicitud
T160161,Solicitar tarjeta débito,cerrar casos y comunicar al cliente ,CP0061,Cerrar caso.
T160161,Solicitar tarjeta débito,rechazar solicitud ,ACT264,Rechazar Solicitud
T160212,Administrar la plataforma Swift,gestionar inconsistencias y notificar a la fuerza comercial ,ACT191,Gestionar Inconsistencias
T160212,Monitorear Driver - GPI,gestionar inconsistencias producto ,ACT191,Gestionar Inconsistencias
T160212,Monitorear Driver - GPI,gestionar inconsistencias gpi ,ACT191,Gestionar Inconsistencias
T160212,Monitorear Driver - GPI,informar resultado del monitoreo ,ACT209,Informar Resultado
T160212,Monitorear Driver - GPI,informar resultado del monitoreo gpi ,ACT209,Informar Resultado
T160220,Abrir productos bancaseguros,seleccionar opción [act303] ,ACT303,Seleccionar OpciÃ³n
T160220,Abrir productos en Sucursal Física,archivar documento [act032] ,ACT032,Archivar Documento
T160220,Abrir productos en Sucursal Física,diligenicar formulario [act132] ,ACT132,Diligenciar Formulario
T160220,Abrir productos en Sucursal Física,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T160220,Abrir productos en Sucursal Física,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160220,Abrir productos en Sucursal Física,gestionar contrato [act185] ,ACT185,Gestionar Contrato
T160220,Abrir productos en Sucursal Física,procesar pago [act237] ,ACT237,Procesar Pago
T160220,Abrir productos en Sucursal Física,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160220,Abrir productos en Sucursal Física,revisar token [act300] ,ACT300,Revisar Token
T160220,Abrir productos en Sucursal Física,solicitar firma [act317] ,ACT317,Solicitar Firma
T160220,Abrir productos en Sucursal Física,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160220,Abrir productos en Telemercadeo  (TMK),consultar información [act003] ,ACT003,Consultar InformaciÃ³n
T160220,Abrir productos en Telemercadeo  (TMK),finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
T160220,Abrir productos en Telemercadeo  (TMK),enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160220,Abrir productos en Telemercadeo  (TMK),gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160220,Abrir productos en Telemercadeo  (TMK),gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160220,Abrir productos en Telemercadeo  (TMK),identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
T160220,Abrir productos en Telemercadeo  (TMK),informar resultado [act209] ,ACT209,Informar Resultado
T160220,Abrir productos en Telemercadeo  (TMK),procesar pago [act237] ,ACT237,Procesar Pago
T160220,Abrir productos en Telemercadeo  (TMK),validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160220,Abrir productos en Telemercadeo  (TMK),validar información [act341] ,ACT341,Validar InformaciÃ³n
T160220,Abrir productos por los Canales Alternos,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T160220,Abrir productos por los Canales Alternos,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160220,Abrir productos por los Canales Alternos,informar resultado [act209] ,ACT209,Informar Resultado
T160220,Abrir productos por los Canales Alternos,procesar pago [act237] ,ACT237,Procesar Pago
T160220,Abrir productos por los Canales Alternos,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160220,Abrir productos por modelo Remota Cardif,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T160220,Abrir productos por modelo Remota Cardif,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160220,Abrir productos por modelo Remota Cardif,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160220,Abrir productos por modelo Remota Cardif,procesar pago [act237] ,ACT237,Procesar Pago
T160220,Abrir productos por modelo Remota Cardif,realizar contacto comercial [act253] ,ACT253,Realizar Contacto Comercial
T160220,Abrir productos por modelo Remota Cardif,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160220,Abrir productos por modelo Remota Cardif,solicitar autorización [act311] ,ACT311,Solicitar AutorizaciÃ³n
T160220,Abrir productos por modelo Remota Cardif,solicitar firma [act317] ,ACT317,Solicitar Firma
T160220,Abrir productos por modelo Remota Cardif,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160220,Abrir productos por modelo Remota Cardif,validar información [act341] ,ACT341,Validar InformaciÃ³n
T160220,Abrir productos por modelo Remota Sura,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T160220,Abrir productos por modelo Remota Sura,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160220,Abrir productos por modelo Remota Sura,procesar pago [act237] ,ACT237,Procesar Pago
T160220,Abrir productos por modelo Remota Sura,realizar contacto comercial [act253] ,ACT253,Realizar Contacto Comercial
T160220,Abrir productos por modelo Remota Sura,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160220,Abrir productos por modelo Remota Sura,solicitar firma [act317] ,ACT317,Solicitar Firma
T160220,Abrir productos por modelo Remota Sura,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160220,Tomar seguros en Canales Digitales,segmentar clientes potenciales ,CP0163,Segmentar cliente
T160220,Tomar seguros en Canales Digitales,autenticar cliente [act045] ,ACT045,Autenticar Cliente
T160220,Tomar seguros en Canales Digitales,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T160220,Tomar seguros en Canales Digitales,identificar cliente potencial [act200] ,ACT200,Identificar Cliente Potencial
T160220,Tomar seguros en Canales Digitales,obtener confirmación [act231] ,ACT231,Obtener ConfirmaciÃ³n
T160220,Tomar seguros en Canales Digitales,procesar pago [act237] ,ACT237,Procesar Pago
T160220,Tomar seguros en Canales Digitales,publicar información [act243] ,ACT243,Publicar InformaciÃ³n
T160220,Tomar seguros en Canales Digitales,revisar token [act300] ,ACT300,Revisar Token
T160220,Tomar seguros en Canales Digitales,seleccionar opción [act303] ,ACT303,Seleccionar OpciÃ³n
T160220,Tomar seguros en Canales Digitales,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160220,Tomar seguros en Canales Digitales,gestionar consentimiento [act365] ,ACT365,Gestionar Consentimiento
T160228,Procedimiento Contingente,activar contingencia manual ,ACT363,Activar Contingencia
T160228,Procedimiento Contingente,activar contingencia tecnológica ,ACT363,Activar Contingencia
T160228,Procedimiento Contingente,activar contingencia personas ,ACT363,Activar Contingencia
T160228,Procedimiento Contingente,activar contingencia infraestructura física ,ACT363,Activar Contingencia
T160228,Procedimiento Contingente,activar contingencia a través del correo ,ACT363,Activar Contingencia
T160246,Cancelar Seguros Cardif,radicar solicitud de cancelación en bizagi ,CMT79,Radicar Solicitud
T160264,Administrar novedades administrativas de sucursales,actualizar condiciones [act005] ,ACT005,Actualizar CondiciÃ³n
T160264,Administrar novedades administrativas de sucursales,informar resultado [act209] ,ACT209,Informar Resultado
T160264,Administrar novedades administrativas de sucursales,registrar ajuste [act273] ,ACT273,Registrar Ajuste
T160264,Administrar novedades administrativas de sucursales,validar solicitud [act348] ,ACT348,Validar Solicitud
T160264,Aplicar novedades Modelamiento,validar solicitud modelamiento ,ACT348,Validar Solicitud
T160264,Aplicar novedades cámara de comercio,estructurar información [act165] ,ACT165,Estructurar InformaciÃ³n
T160264,Aplicar novedades cámara de comercio,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160264,Aplicar novedades cámara de comercio,informar resultado [act209] ,ACT209,Informar Resultado
T160264,Aplicar novedades cámara de comercio,procesar pago [act237] ,ACT237,Procesar Pago
T160264,Aplicar novedades cámara de comercio,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T160264,Aplicar novedades cámara de comercio,solicitar información [act318] ,ACT318,Solicitar InformaciÃ³n
T160264,Aplicar novedades cámara de comercio,validar solicitud [act348] ,ACT348,Validar Solicitud
T160264,Aprobar conexión a Redes Externas,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T160264,Aprobar conexión a Redes Externas,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160264,Realizar Renovación Registro Único de Proponentes-RUP,solicitar firmas del representante legal y revisor fiscal ,ACT317,Solicitar Firma
T160265,Administrar la autenticación de clientes,cmp59: autenticar cliente-usuario en sucursal ,ACT045,Autenticar Cliente
T160265,Administrar la autenticación de clientes,autenticar cliente-usuario ,ACT045,Autenticar Cliente
T160265,Gestionar Cobros por uso de la Red,certificar cuenta contable ,CP0469,Certificar cuenta
T160265,Gestionar Cobros por uso de la Red,certificar cuenta contable ,ACT364,Certificar Cuenta Contable
T160265,Monitorear la operación de Golf SifBranch en Sucursales,atender alertas escaladas por torre de control ,ACT181,Atender Alerta
T160265,Monitorear la operación de Golf SifBranch en Sucursales,registrar evidencias en bitacora de alertas de monitoreo ,ACT275,Registrar Evidencia
T160265,Monitorear la operación de Golf SifBranch en Sucursales,registrar evidencias en bitacora de alertas ,ACT275,Registrar Evidencia
T160268,Abrir canal Corresponsales Bancarios.,actualizar registro [act011] ,ACT011,Actualizar Registro
T160268,Abrir canal Corresponsales Bancarios.,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160268,Abrir canal Corresponsales Bancarios.,informar resultado [act209] ,ACT209,Informar Resultado
T160268,Abrir canal Corresponsales Bancarios.,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T160268,Abrir canal Corresponsales Bancarios.,rechazar solicitud e informar ,ACT264,Rechazar Solicitud
T160268,Abrir canal Corresponsales Bancarios.,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160268,Abrir canal Corresponsales Bancarios.,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160268,Abrir canal Corresponsales Bancarios.,validar solicitud [act348] ,ACT348,Validar Solicitud
T160268,Abrir canal Corresponsales Bancarios.,habilitar canal de distribución [act373] ,ACT373,Habilitar Canal De DistribuciÃ³n
T160269,Administrar Base funcionamiento,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160269,Administrar Cupos,cerrar solicitud ,ACT378,Cerrar Solicitud
T160269,Novedades Monetarias,cerrar solicitud ,ACT378,Cerrar Solicitud
T160273,Atender con modelo Servicio,autenticar cliente [act045] ,ACT045,Autenticar Cliente
T160273,Atender con modelo Servicio,autenticar clientes ,ACT045,Autenticar Cliente
T160273,Atender con modelo Servicio,publicar información [act243] ,ACT243,Publicar InformaciÃ³n
T160273,Atender con modelo Servicio,realizar contacto comercial [act253] ,ACT253,Realizar Contacto Comercial
T160273,Atender con modelo Servicio,seleccionar opción [act303] ,ACT303,Seleccionar OpciÃ³n
T160273,Atender con modelo Ventas,enviar comunicación/notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
T160273,Atender con modelo Ventas,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160273,Atender con modelo Ventas,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160273,Atender con modelo Ventas,gestionar proceso [act192] ,ACT192,Gestionar Proceso
T160273,Atender con modelo Ventas,identificar cliente potencial [act200] ,ACT200,Identificar Cliente Potencial
T160273,Atender con modelo Ventas,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160273,Atender con modelo Ventas,solicitar firma [act317] ,ACT317,Solicitar Firma
T160273,Atender con modelo Ventas,validar respuesta [act345] ,ACT345,Validar Respuesta
T160273,Atender con modelo Ventas,validar solicitud [act348] ,ACT348,Validar Solicitud
T160273,Atender con modelo Ventas,gestionar consentimiento [act365] ,ACT365,Gestionar Consentimiento
T160273,Atender con modelo Ventas y servicio,autenticar clientes ,ACT045,Autenticar Cliente
T160273,Atender con modelo Ventas y servicio,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160273,Atender con modelo Ventas y servicio,gestionar proceso [act192] ,ACT192,Gestionar Proceso
T160273,Atender con modelo Ventas y servicio,identificar cliente potencial [act200] ,ACT200,Identificar Cliente Potencial
T160273,Atender con modelo Ventas y servicio,realizar contacto comercial [act253] ,ACT253,Realizar Contacto Comercial
T160273,Atender con modelo Ventas y servicio,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T160273,Autenticar clientes,autenticar cliente [act045] ,ACT045,Autenticar Cliente
T160273,Autenticar clientes,informar resultado [act209] ,ACT209,Informar Resultado
T160273,Contingencia,evaluar impacto [act167] ,ACT167,Evaluar Impacto
T160273,Contingencia,implementar solución [act204] ,ACT204,Implementar SoluciÃ³n
T160273,Contingencia,priorizar solicitud [act235] ,ACT235,Priorizar Solicitud
T160273,Contingencia,revisar trazabilidad [act301] ,ACT301,Realizar Trazabilidad
T160273,Contingencia,c002: activar contingencia operativa ,ACT363,Activar Contingencia
T160273,Contingencia,activar contingencia tecnologica ,ACT363,Activar Contingencia
T160273,Contingencia,activar contingencia [act363] ,ACT363,Activar Contingencia
T160273,Ejecutar la transacción,confirmar registro [act095] ,ACT095,Confirmar Registro
T160273,Ejecutar la transacción,consultar transacción [act104] ,ACT104,Consultar TransacciÃ³n
T160273,Ejecutar la transacción,informar resultado [act209] ,ACT209,Informar Resultado
T160273,Ejecutar la transacción,monitorear operaciones [act220] ,ACT220,Monitorear Operaciones
T160273,Ejecutar la transacción,procesar pago [act237] ,ACT237,Procesar Pago
T160273,Ejecutar la transacción,registrar evidencia [act275] ,ACT275,Registrar Evidencia
