t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
6811752.0,2026Q1,PAN040102,Abrir Producto de Crédito,procedimiento contingente ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Abrir Producto de Crédito,crear cuenta y autorizar desembolsos ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Abrir Producto de Crédito,"contingencia, fecha de actualización: 2025-08-28 ",['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,solicitar corrección en el archivo ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,recibir e ingresar datos del crédito nuevo ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,recibir base mensual ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,generar mensaje swift ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,descargar reporte [act122] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,descargar insumos para el reporte ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,calcular intereses de liquidaciones reciprocas ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,c016: aprobar ajuste en finacle ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,c014: validar insumo de revolventes ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,c012: aprobar mensaje swift ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,c011:aprobar en finacle ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,ajustar valor [act016] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Realizar cálculos Revolvente,ajustar información del crédito ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,solucionar inconsistencias ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,retorno al proceso normal ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,retornar al proceso normal ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,notificar la ofex para gestionar inconsistencias ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,gestionar inconsistencias [act191] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,enviar fondos del desembolso ,['PAN040102'],['ARQ002'],['Abrir producto']
