id_epica,periodo,codigo_proceso,procedimiento,actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
7033166,2026Q1,PAN050802,Vinculación Centralizada,generar base ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,gestionar inconsistencias [act191] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c002: validar documentos soporte ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,cerrar solicitud ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,c005: realizar busquedas ampliadas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,realizar debida diligencia alto riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,enviar formato de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,cargar información [act066] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,cargar información [act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,generar formato de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c004: validar listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c007:validar solicitud de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c003: validar identidad ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,notificar al panel ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c005: realizar busquedas ampliadas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,gestionar inconsistencias [act191] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c008: realizar perfil transaccional ,['PAN050802'],['ARQ114'],['Vincular clientes']
