t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,actualizar la estrategia ante riesgos 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,validar si implica un cambio de portafolio o la firma de un otrosí. 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,validar registro en los sistemas de tesorería 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,solicitar vinculación en los sistemas de tesoreria 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,solicitar parametrización en el sistema 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,s: realizar parametrización de aplicativo. 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,revisar portafolio para comunicar las intenciones a la mesa de inversión 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,revisar inconsistencias 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,recibir y revisar la intención e iniciar los pasos para su ejecución 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,realizar reunión diaria de seguimiento del mercado 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,proponer la asignación estratégica por macroactivos 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,modificar o anular operación 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,m: gestión de la interacción con clientes; p: crear internamente un portafolio delegado 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,m: gestión de la interacción con clientes.; p: estructurar portafolios delegados 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,ingresar en el sistema transaccional 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,ingresar en el sistema interno 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,gestionar atribuciones 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,generar informes de rentabilidades 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,enviar correo 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,enviar autorización 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,enviar a pershing y confirmar recepción 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,elaborar carta 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,comunicar las instrucciones a la mesa de dinero 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,cerrar la operación 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c015 validar autorización 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c014: cuadre de operaciones rv 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c012: monitorear conexiones fuera de horario laboral y grabacion de medios verificables 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c011 verificar que la estrategia se haya actualizado correctamente 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c008 revisar el medio transaccional 
